agregation_rank	agregation	agregation_type	on_off	agregation_name	agregation_mixed	agregation_label	agregation_level	source_default	level_operand	level_source	mandatory	family	voronoi_polygon_calculation	axe	link_to_aa	limit_3rd_axis	na_max_unique	na_parent_unique	sdna_id	third_axis_default_level	uniq_label	link_to_ne
1	cell	text	1	cell		Cell	1	cell	=	cell	1	bss	1					1	sdna.0095.01.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	bss	1					1	sdna.0095.01.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	bss	1					1	sdna.0095.01.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	bss	1					1	sdna.0095.01.usercluster3	0	1	
5	bsc	text	1	bsc		BSC	2	cell	>	cell	1	bss	1					1	sdna.0095.01.bsc	0	1	
6	lac	text	1	lac		LAC	2	cell	>	cell	1	bss	1					1	sdna.0095.01.lac	0	1	
7	msc	text	1	msc		MSC	3	lac	>	lac	1	bss	1					1	sdna.0095.01.msc	0	1	
8	network	text	1	network		Network	4	msc	>	msc	1	bss	1				1	1	sdna.0095.01.network	0	1	
9	vendor	text	1	vendor		Vendor	3	bsc	>	bsc	1	bss	1				1	1	sdna.0095.01.vendor	0	1	
1	cell	text	1	cell		Cell	1	cell	=	cell	1	bssgprs	1					1	sdna.0095.02.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	bssgprs	1					1	sdna.0095.02.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	bssgprs	1					1	sdna.0095.02.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	bssgprs	1					1	sdna.0095.02.usercluster3	0	1	
5	pcu	text	1	pcu		PCU	2	cell	>	cell	1	bssgprs	1					1	sdna.0095.02.pcu	0	1	
6	rai	text	1	rai		RAI	2	cell	>	cell	1	bssgprs	1					1	sdna.0095.02.rai	0	1	
7	sgsn	text	1	sgsn		SGSN	3	rai	>	rai	1	bssgprs	1					1	sdna.0095.02.sgsn	0	1	
8	network	text	1	network		Network	4	sgsn	>	sgsn	1	bssgprs	1				1	1	sdna.0095.02.network	0	1	
9	vendor	text	1	vendor		Vendor	3	pcu	>	pcu	1	bssgprs	1				1	1	sdna.0095.02.vendor	0	1	
1	trxid	text	1	trxid		TRX	1	trxid	=	trxid	1	bsstrx	1					1	sdna.0095.03.trxid	0	1	
2	cell	text	1	cell		Cell	2	trxid	>	trxid	1	bsstrx	1					1	sdna.0095.03.cell	0	1	
3	network	text	1	network		Network	3	cell	>	cell	1	bsstrx	1				1	1	sdna.0095.03.network	0	1	
