id_ligne	id_group_table	time_agregation	time_agregation_label	id_source	data_type	on_off	comment	deploy_status
415	1	day	Day	414	raw	1		0
419	1	day	Day	418	kpi	1		0
678	1	day_bh	day_bh	414	raw	1		0
679	1	day_bh	day_bh	418	kpi	1		0
414	1	hour	Hour	-1	raw	1		0
418	1	hour	Hour	-1	kpi	1		0
417	1	month	Month	415	raw	1		0
421	1	month	Month	419	kpi	1		0
682	1	month_bh	month_bh	678	raw	1		0
683	1	month_bh	month_bh	679	kpi	1		0
416	1	week	Week	415	raw	1		0
420	1	week	Week	419	kpi	1		0
680	1	week_bh	week_bh	678	raw	1		0
681	1	week_bh	week_bh	679	kpi	1		0
423	2	day	Day	422	raw	1		0
427	2	day	Day	426	kpi	1		0
684	2	day_bh	day_bh	422	raw	1		0
685	2	day_bh	day_bh	426	kpi	1		0
422	2	hour	Hour	-1	raw	1		0
426	2	hour	Hour	-1	kpi	1		0
425	2	month	Month	423	raw	1		0
429	2	month	Month	427	kpi	1		0
688	2	month_bh	month_bh	684	raw	1		0
689	2	month_bh	month_bh	685	kpi	1		0
424	2	week	Week	423	raw	1		0
428	2	week	Week	427	kpi	1		0
686	2	week_bh	week_bh	684	raw	1		0
687	2	week_bh	week_bh	685	kpi	1		0
431	3	day	Day	430	raw	1		0
435	3	day	Day	434	kpi	1		0
690	3	day_bh	day_bh	430	raw	1		0
691	3	day_bh	day_bh	434	kpi	1		0
430	3	hour	Hour	-1	raw	1		0
434	3	hour	Hour	-1	kpi	1		0
433	3	month	Month	431	raw	1		0
437	3	month	Month	435	kpi	1		0
694	3	month_bh	month_bh	690	raw	1		0
695	3	month_bh	month_bh	691	kpi	1		0
432	3	week	Week	431	raw	1		0
436	3	week	Week	435	kpi	1		0
692	3	week_bh	week_bh	690	raw	1		0
693	3	week_bh	week_bh	691	kpi	1		0
439	4	day	Day	438	raw	1		0
443	4	day	Day	442	kpi	1		0
696	4	day_bh	day_bh	438	raw	1		0
697	4	day_bh	day_bh	442	kpi	1		0
438	4	hour	Hour	-1	raw	1		0
442	4	hour	Hour	-1	kpi	1		0
441	4	month	Month	439	raw	1		0
445	4	month	Month	443	kpi	1		0
700	4	month_bh	month_bh	696	raw	1		0
701	4	month_bh	month_bh	697	kpi	1		0
440	4	week	Week	439	raw	1		0
444	4	week	Week	443	kpi	1		0
698	4	week_bh	week_bh	696	raw	1		0
699	4	week_bh	week_bh	697	kpi	1		0
447	5	day	Day	446	raw	1		0
451	5	day	Day	450	kpi	1		0
702	5	day_bh	day_bh	446	raw	1		0
703	5	day_bh	day_bh	450	kpi	1		0
446	5	hour	Hour	-1	raw	1		0
450	5	hour	Hour	-1	kpi	1		0
449	5	month	Month	447	raw	1		0
453	5	month	Month	451	kpi	1		0
706	5	month_bh	month_bh	702	raw	1		0
707	5	month_bh	month_bh	703	kpi	1		0
448	5	week	Week	447	raw	1		0
452	5	week	Week	451	kpi	1		0
704	5	week_bh	week_bh	702	raw	1		0
705	5	week_bh	week_bh	703	kpi	1		0
455	6	day	Day	454	raw	1		0
459	6	day	Day	458	kpi	1		0
708	6	day_bh	day_bh	454	raw	1		0
709	6	day_bh	day_bh	458	kpi	1		0
454	6	hour	Hour	-1	raw	1		0
458	6	hour	Hour	-1	kpi	1		0
457	6	month	Month	455	raw	1		0
461	6	month	Month	459	kpi	1		0
712	6	month_bh	month_bh	708	raw	1		0
713	6	month_bh	month_bh	709	kpi	1		0
456	6	week	Week	455	raw	1		0
460	6	week	Week	459	kpi	1		0
710	6	week_bh	week_bh	708	raw	1		0
711	6	week_bh	week_bh	709	kpi	1		0
463	7	day	Day	462	raw	1		0
467	7	day	Day	466	kpi	1		0
714	7	day_bh	day_bh	462	raw	1		0
715	7	day_bh	day_bh	466	kpi	1		0
462	7	hour	Hour	-1	raw	1		0
466	7	hour	Hour	-1	kpi	1		0
465	7	month	Month	463	raw	1		0
469	7	month	Month	467	kpi	1		0
718	7	month_bh	month_bh	714	raw	1		0
719	7	month_bh	month_bh	715	kpi	1		0
464	7	week	Week	463	raw	1		0
468	7	week	Week	467	kpi	1		0
716	7	week_bh	week_bh	714	raw	1		0
717	7	week_bh	week_bh	715	kpi	1		0
471	8	day	Day	470	raw	1		0
475	8	day	Day	474	kpi	1		0
720	8	day_bh	day_bh	470	raw	1		0
721	8	day_bh	day_bh	474	kpi	1		0
470	8	hour	Hour	-1	raw	1		0
474	8	hour	Hour	-1	kpi	1		0
473	8	month	Month	471	raw	1		0
477	8	month	Month	475	kpi	1		0
724	8	month_bh	month_bh	720	raw	1		0
725	8	month_bh	month_bh	721	kpi	1		0
472	8	week	Week	471	raw	1		0
476	8	week	Week	475	kpi	1		0
722	8	week_bh	week_bh	720	raw	1		0
723	8	week_bh	week_bh	721	kpi	1		0
